Periodo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Total nacional ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Aguascalientes ",0.965018069,0.969712515,0.97116219,0.991371895,1.054442417,1.048063138,1.049591193,1.060486086,1.06840997,1.086812574,1.104805287,1.18554174,1.195582947,1.246411552,1.250478615,1.269895968
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Baja California ",3.181075555,3.241250768,3.244060448,3.273323773,3.238152394,3.176867992,2.987467813,2.98321205,2.962534873,2.955250425,2.9760021,2.975771729,3.084907237,3.153546677,3.192921524,3.196638716
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Baja California Sur ",0.605517607,0.624840729,0.65477593,0.672263601,0.74502573,0.756628463,0.793775419,0.770995756,0.771103323,0.760455511,0.735347692,0.722137789,0.787245229,0.788742989,0.856193089,0.97751265
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Campeche ",8.34065253,8.118814044,7.780606944,7.280542755,6.647570046,6.02128514,5.720443577,5.253257686,4.883797993,4.632152235,4.609746131,4.26946246,3.84576114,3.53664356,3.103799736,2.991524149
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Coahuila de Zaragoza ",3.476151466,3.441534344,3.437799434,3.448962449,3.511030998,3.459940262,3.086976875,3.413726996,3.517170381,3.561350971,3.440644805,3.480498297,3.40137749,3.369597643,3.472179293,3.440418392
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Colima ",0.539313344,0.519467289,0.511384427,0.520650255,0.543874318,0.548184761,0.560110172,0.571278491,0.591195022,0.586743133,0.584444594,0.583197472,0.578295884,0.580455875,0.588808722,0.590159465
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Chiapas ",1.975644156,1.826538989,1.800154073,1.783127265,1.771629577,1.79333649,1.880774286,1.888111525,1.878531896,1.845206163,1.795896569,1.830001105,1.735959058,1.690171757,1.601753541,1.534339515
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Chihuahua ",2.8698435,2.886151751,2.915934252,3.012131075,3.049219624,3.060475843,2.938621815,2.910986321,2.873325298,2.975610411,3.044823705,3.022896293,3.079981767,3.145614387,3.182362204,3.178019372
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Total de la actividad econ�mica Ciudad de M�xico ",16.98313172,17.06385037,16.91743059,17.04585079,16.89692316,17.01334867,17.30965533,17.04878854,17.03308374,17.06912007,17.0883545,17.10664714,17.30937528,17.41336572,17.57399517,17.67089489
